Employee_ID,First_Name,Last_Name,Gender,Salary,Job_Title,Country,Birth_date,Hire_date
120172,Edwin,Comber,M,28345,Sales Rep. III,AU,1-Apr-48,1/1/78
120173,Hernani,Osborn,M,26715,Sales Rep. I,AU,23-Feb-58,6/1/81
120174,Doungkamol,Simms,F,26850,Sales Rep. I,AU,10-Jan-48,1/1/78
120175,Andrew,Conolly,M,25745,Sales Rep. I,AU,18-Aug-92,10/1/10
120176,Koavea,Pa,M,26095,Sales Rep. I,AU,9-Nov-90,11/1/10
120177,Franca,Kierce,F,28745,Sales Rep. III,AU,5-Apr-83,2/1/02
120178,Billy,Plested,M,26165,Sales Rep. II,AU,23-Nov-58,4/1/78
120179,Matsuoka,Wills,M,28510,Sales Rep. III,AU,15-Mar-78,1/1/08
120180,Vino,George,M,26970,Sales Rep. II,AU,27-Jun-58,12/1/82
120198,Meera,Body,F,28025,Sales Rep. III,AU,21-Jan-92,12/1/10
120261,Harry,Highpoint,M,243190,Chief Sales Officer,US,21-Feb-73,8/1/91
121018,Julienne,Magolan,F,27560,Sales Rep. II,US,3-Jan-48,1/1/78
121019,Scott,Desanctis,M,31320,Sales Rep. IV,US,25-Jun-90,6/1/08
121020,Cherda,Ridley,F,31750,Sales Rep. IV,US,23-Feb-88,5/1/06
121021,Priscilla,Farren,F,32985,Sales Rep. IV,US,10-Dec-78,3/1/98
121022,Robert,Stevens,M,32210,Sales Rep. IV,US,28-Oct-83,2/1/06
121023,Shawn,Fuller,M,26010,Sales Rep. I,US,13-Mar-68,5/1/93
121024,Michael,Westlund,M,26600,Sales Rep. II,US,21-Sep-88,5/1/08
121025,Barnaby,Cassey,M,28295,Sales Rep. II,US,10-Oct-53,9/1/79
121026,Terrill,Jaime,M,31515,Sales Rep. IV,US,8-Nov-90,4/1/10
121027,Allan,Rudder,M,26165,Sales Rep. II,US,5-May-68,12/1/93
121028,William,Smades,M,26585,Sales Rep. I,US,27-Apr-92,11/1/10
121029,Kuo-Chung,Mcelwee,M,27225,Sales Rep. I,US,22-Dec-68,12/1/93
121030,Jeryl,Areu,M,26745,Sales Rep. I,US,12-Nov-83,2/1/05
121031,Scott,Filan,M,28060,Sales Rep. III,US,9-Jul-68,8/1/89
121032,Nasim,Smith,M,31335,Sales Rep. IV,US,24-Feb-92,3/1/10
121033,Kristie,Snitzer,F,29775,Sales Rep. III,US,6-Nov-90,6/1/08
121034,John,Kirkman,M,27110,Sales Rep. II,US,23-Aug-92,1/1/11
121035,James,Blackley,M,26460,Sales Rep. II,US,25-Mar-48,1/1/78
121036,Teresa,Mesley,F,25965,Sales Rep. I,US,18-Jul-92,10/1/07
121037,Muthukumar,Miketa,M,28310,Sales Rep. III,US,12-Jun-78,3/1/06
121038,David,Anstey,M,25285,Sales Rep. I,US,13-Feb-92,8/1/10
121039,Donald,Washington,M,27460,Sales Rep. II,US,3-Jun-58,5/1/84
121040,Brienne,Darrohn,F,29525,Sales Rep. III,US,6-Jul-63,11/1/86
121041,Jaime,Wetherington,F,26120,Sales Rep. II,US,4-Feb-48,1/1/78
121042,Joseph,Robbin-Coker,M,28845,Sales Rep. III,US,4-Apr-83,11/1/03
121043,Sigrid,Kagarise,F,28225,Sales Rep. II,US,9-Nov-73,3/1/96
121044,Ray,Abbott,M,25660,Sales Rep. I,US,11-Dec-58,8/1/79
121045,Cascile,Hampton,F,28560,Sales Rep. II,US,13-Jun-68,1/1/98
121046,Roger,Mandzak,M,25845,Sales Rep. I,US,7-Sep-88,7/1/10
121047,Karen,Grzebien,F,25820,Sales Rep. I,US,26-Nov-83,9/1/10
121048,Lawrie,Clark,F,26560,Sales Rep. I,US,24-Jun-88,9/1/10
121049,Perrior,Bataineh,F,26930,Sales Rep. I,US,14-Feb-90,12/1/10
121050,Patricia,Capristo-Abramczyk,F,26080,Sales Rep. II,US,12-Jan-90,12/1/10
121051,Glorina,Myers,F,26025,Sales Rep. I,US,2-May-53,11/1/82
121052,Richard,Fay,M,26900,Sales Rep. II,US,9-Jan-90,11/1/10
121053,Tywanna,Mcdade,F,29955,Sales Rep. III,US,23-Sep-48,2/1/78
121054,Daniel,Pulliam,M,29805,Sales Rep. III,US,12-Nov-58,11/1/80
121055,Clement,Davis,M,30185,Sales Rep. III,US,8-Jan-92,8/1/10
121056,Stacey,Lyszyk,F,28325,Sales Rep. II,US,5-Jul-88,5/1/07
121057,Tachaun,Voron,M,25125,Sales Rep. I,US,26-Dec-63,12/1/84
121058,Del,Kohake,M,26270,Sales Rep. I,US,12-Jul-78,10/1/06
121059,Jacqulin,Carhide,F,27425,Sales Rep. II,US,25-Oct-63,4/1/85
121060,Elizabeth,Spofford,F,28800,Sales Rep. III,US,8-Jun-48,1/1/78
121061,Lauris,Hassam,M,29815,Sales Rep. III,US,16-Jul-58,7/1/88
121062,Debra,Armant,F,30305,Sales Rep. IV,US,28-Oct-88,8/1/10
121063,Regi,Kinol,M,35990,Sales Rep. II,US,27-Jul-83,8/1/09
121064,Asishana,Polky,M,25110,Sales Rep. I,US,28-Jan-68,9/1/95
121065,Corneille,Malta,F,28040,Sales Rep. III,US,5-Sep-88,4/1/10
121066,Ceresh,Norman,F,27250,Sales Rep. II,US,23-Aug-48,1/1/78
121067,Jeanilla,Macnair,F,31865,Sales Rep. IV,US,18-Jan-90,3/1/10
121068,Salaheloin,Osuba,M,27550,Sales Rep. II,US,2-Dec-73,9/1/96
121069,Jason,Lapsley,M,26195,Sales Rep. II,US,19-Mar-73,10/1/94
121070,Agnieszka,Holthouse,F,29385,Sales Rep. III,US,4-Nov-88,2/1/10
121071,John,Hoppmann,M,28625,Sales Rep. III,US,10-Sep-63,9/1/81
121072,Christer,North,M,26105,Sales Rep. I,US,10-Jan-83,9/1/08
121073,Donald,Court,M,27100,Sales Rep. I,US,15-May-53,1/1/78
121074,Eric,Michonski,M,26990,Sales Rep. I,US,1-Mar-63,10/1/92
121075,Kasha,Sugg,F,28395,Sales Rep. II,US,23-Dec-48,1/1/78
121076,Micah,Cobb,M,26685,Sales Rep. II,US,9-Oct-68,1/1/87
121077,Bryce,Smotherly,M,28585,Sales Rep. III,US,5-Sep-88,10/1/10
121078,Lionel,Wende,M,27485,Sales Rep. I,US,1-May-53,11/1/82
121079,Azmi,Mees,M,25770,Sales Rep. I,US,3-Jun-78,11/1/01
121080,Kumar,Chinnis,M,32235,Sales Rep. I,US,24-Jan-63,9/1/91
121081,Susie,Knudson,F,30235,Sales Rep. III,US,28-Mar-53,4/1/80
121082,Richard,Debank,M,28510,Sales Rep. III,US,5-Jul-53,10/1/81
121083,Tingmei,Sutton,F,27245,Sales Rep. I,US,11-Mar-63,3/1/83
121084,Tulsidas,Ould,M,22710,Sales Rep. I,US,16-Aug-68,1/1/95
121085,Rebecca,Huslage,M,32235,Sales Rep. IV,US,12-Nov-90,1/1/11
121086,John-Michael,Plybon,M,26820,Sales Rep. I,US,16-Dec-48,1/1/78
121087,Virtina,O'Suilleabhain,F,28325,Sales Rep. II,US,7-Dec-78,3/1/03
121088,Momolu,Kernitzki,M,27240,Sales Rep. I,US,10-Jun-92,1/1/11
121089,Gregory,Sauder,M,28095,Sales Rep. II,US,21-Aug-58,7/1/78
121090,Betty,Klibbe,F,26600,Sales Rep. I,US,19-Jun-58,2/1/84
121091,Ernest,Kadiri,M,27325,Sales Rep. II,US,19-Feb-73,1/1/93
121092,Gynell,Pritt,F,25680,Sales Rep. I,US,8-Mar-78,8/1/06
121093,Carl,Vasconcellos,M,27410,Sales Rep. I,US,18-Jul-68,1/1/98
121094,Larry,Tate,M,26555,Sales Rep. I,US,7-Jan-58,9/1/82
121095,Sara,Kratzke,F,28010,Sales Rep. II,US,14-Apr-73,7/1/95
121096,Robert,Newstead,M,26335,Sales Rep. I,US,18-May-73,5/1/99
121097,Willeta,Chernega,F,26830,Sales Rep. II,US,23-Oct-78,10/1/99
121098,Hal,Heatwole,M,27475,Sales Rep. I,US,22-Mar-92,5/1/10
121099,Royall,Mrvichin,M,32725,Sales Rep. IV,US,19-Mar-83,5/1/04
121100,Tzue-Ing,Cormell,M,28135,Sales Rep. II,US,27-Apr-53,4/1/80
121101,Burnetta,Buckner,F,25390,Sales Rep. I,US,28-Aug-90,11/1/10
121102,Rocheal,Flammia,F,27115,Sales Rep. I,US,26-Jun-83,6/1/10
121103,Brian,Farnsworth,M,27260,Sales Rep. I,US,28-Apr-92,9/1/10
121104,Leoma,Johnson,F,28315,Sales Rep. II,US,12-Nov-68,4/1/90
121105,Jessica,Savacool,F,29545,Sales Rep. III,US,9-May-83,1/1/07
121106,James,Hilburger,M,25880,Sales Rep. I,US,2-Feb-73,2/1/00
121107,Rose,Anger,F,31380,Sales Rep. IV,US,24-Apr-90,7/1/10
121108,Libby,Levi,F,25930,Sales Rep. I,US,4-Jul-92,11/1/10
121109,Harold,Boulus,M,26035,Sales Rep. I,US,5-Nov-73,5/1/94
121135,Tammy,Ruta,F,27010,Sales Rep. I,US,7-Jun-58,8/1/78
121136,Lesia,Galarneau,F,27460,Sales Rep. I,US,15-Jul-78,12/1/06
121137,Michael. R.,Boocks,M,27055,Sales Rep. I,US,18-Jan-92,4/1/10
121138,Hershell,Tolley,M,27265,Sales Rep. I,US,28-Feb-53,1/1/78
121139,Diosdado,Mckee,F,27700,Sales Rep. II,US,19-Aug-63,7/1/91
121140,Saunders,Briggi,M,26335,Sales Rep. I,US,23-Jan-83,4/1/05
121143,Louis,Favaron,M,95090,Senior Sales Manager,US,26-Nov-73,7/1/01
121144,Renee,Capachietti,F,83505,Sales Manager,US,28-Jun-68,11/1/95
121145,Dennis,Lansberry,M,84260,Sales Manager,US,22-Nov-53,4/1/80
